id,name,manufacturer,price,quantity,description,certifications,image1
42,Juicy Chemistry Blood Orange & Rosehip Lip Balm,Juicy Chemistry,350,5g,"Crafted with organic ingredients like blood orange and rosehip oil, this balm hydrates and repairs lips. It is free from synthetic fragrances and preservatives.","COSMOS Organic, Cruelty-Free",https://m.media-amazon.com/images/I/61slWjVdlYL.jpg
43,SoulTree Lotus & Kokum Butter Lip Balm,SoulTree,295,3.5g,"Enriched with lotus and kokum butter, this lip balm provides deep moisturization. It is free from petroleum jelly and synthetic colors.","BDIH Certified Natural, Cruelty-Free",https://cdn.shopify.com/s/files/1/1857/6931/products/tErGOoCrqU_640x640.jpg.webp?v=1759286602
51,Rustic Art Organic Shampoo Concentrate,Rustic Art,230,100 ml,"Made with organic ingredients like aloe vera and neem, this shampoo is biodegradable and free from sulfates and parabens, ensuring minimal environmental impact.","USDA Organic, India Organic","https://m.media-amazon.com/images/I/61Oy10wyvQL._AC_UF1000,1000_QL80_.jpg"
52,Soulflower Reetha Coconut Milk Shampoo Bar,Soulflower,400,150 g,"This solid shampoo bar is made with natural ingredients like reetha and coconut milk, reducing plastic waste and promoting sustainable hair care practices.","PETA Cruelty-Free, Vegan Society","https://m.media-amazon.com/images/I/81GMoVMbnnL._AC_UF1000,1000_QL80_.jpg"
53,The Earth Collective Hair Cleanser,The Earth Collective,695,200 ml,"Enriched with natural extracts like amla and bhringraj, this shampoo is packaged in recyclable materials and is free from harmful chemicals.","ECOCERT, COSMOS Organic",https://swadesii.com/cdn/shop/files/516FTD5c0gL._SX679.jpg?v=1762993205
61,Forest Essentials Hair Conditioner Bhringraj & Shikakai,Forest Essentials,"1,175",200 ml,"This conditioner uses traditional Ayurvedic ingredients like Bhringraj and Shikakai, known for their nourishing properties, in a biodegradable packaging.","ISO 14001, Cruelty-Free International",https://i.ebayimg.com/images/g/JTYAAOSw5fRm0JC-/s-l1200.jpg
62,SoulTree Hibiscus Conditioner,SoulTree,675,200 ml,"Made with organic hibiscus, henna, and coconut oil, this conditioner is free from synthetic fragrances and parabens, packaged in recyclable materials.","BDIH Certified Natural, Cruelty-Free",https://www.soultree.in/cdn/shop/files/Front_4dcec867-dc21-49c8-9d17-7fdec914ada6.jpg?v=1731407222
63,Biotique Bio Thyme Volume Conditioner,Biotique,185,180 ml,"Enriched with thyme and peppermint oil, this conditioner is formulated with 100% botanical extracts and comes in eco-friendly packaging.","ECOCERT, Cruelty-Free International",https://i.ebayimg.com/images/g/3q4AAOSw-gBlSPJD/s-l1200.jpg
71,Eco Bamboo Hairbrush,The Body Shop,995,1 piece,"Made from FSC-certified bamboo, this hairbrush is designed to reduce static and is biodegradable. It features a natural rubber cushion and is suitable for all hair types.",FSC (Forest Stewardship Council),https://www.picclickimg.com/ugEAAeSwaO1px7~i/The-Body-Shop-Bamboo-Brush-Small-Wooden-Hairbrush.webp
72,Neem Wood Hairbrush,Azafran Organics,350,1 piece,"Crafted from sustainably sourced neem wood, this hairbrush is naturally antibacterial and compostable. It helps in reducing hair breakage and scalp irritation.",India Organic,https://lookaside.instagram.com/seo/google_widget/crawler/?media_id=3955397917176641550
73,Biodegradable Hairbrush,EcoRoots,"1,200",1 piece,This hairbrush is made from biodegradable plant-based materials and features a natural rubber cushion. It is designed to minimize environmental impact.,USDA Certified Biobased Product,https://ecoroots.us/cdn/shop/products/WoodenHairBrush_opt_10_680x680_crop_center.jpg?v=1631290712
81,Himalaya Herbals Complete Care Toothpaste,Himalaya Wellness,90,100g,"Made with natural ingredients like neem and pomegranate, this toothpaste supports oral health without harmful chemicals. It comes in recyclable packaging.","ISO 9001:2015, GMP Certified",https://m.media-amazon.com/images/I/81qvTkOKyFL.jpg
82,Colgate Vedshakti Toothpaste,Colgate-Palmolive India,95,100g,"Combines traditional Indian ingredients like clove and neem, offering a natural approach to oral care. The packaging is recyclable.","FSC Certified Packaging, ISO 14001",https://pxmshare.colgatepalmolive.com/JPEG_1500/Q_U2bCe6suY3thxvkogOc.jpg
83,Dabur Red Paste,Dabur India Ltd.,92,100g,"Enriched with ayurvedic ingredients like clove oil and mint, this toothpaste is free from harmful chemicals and uses recyclable packaging.","ISO 9001:2015, GMP Certified",https://i.ebayimg.com/images/g/W3IAAOSwL39iS~Kq/s-l400.jpg
91,Bamboo Toothbrush,The Humble Co.,250,1 toothbrush,"Made from sustainably grown bamboo, this toothbrush features BPA-free nylon bristles and is packaged in compostable materials.","FSC, Vegan Society",http://www.thehumble.co/cdn/shop/files/humble-midnatt-studio-shoot-6.2.jpg?v=1761578014
92,Colgate Bamboo Charcoal Toothbrush,Colgate-Palmolive,150,1 toothbrush,"This toothbrush has a bamboo handle and charcoal-infused bristles, with recyclable packaging. It is designed to reduce plastic waste.","FSC, PETA Cruelty-Free",https://shop.colgate.com/cdn/shop/files/CN07810A_Colgate_Bamboo_Toothbrush_7e29c9ed-a568-42ee-91db-42ac2bf37ebf.jpg?v=1776086792&width=1200
93,Terrabrush Bamboo Toothbrush,Terrabrush,120,1 toothbrush,"Crafted from biodegradable bamboo, this toothbrush uses BPA-free bristles and comes in eco-friendly packaging.","FSC, ISO 9001:2015",https://prakati.in/wp-content/uploads/Terrabrush-Bamboo-Toothbrush.jpg
101,Dental Lace Refillable Floss,Dental Lace,450,30 meters,"Made from silk, this floss is biodegradable and comes in a refillable glass container with a metal cap, reducing plastic waste.",USDA Certified Biobased Product,https://www.dentallace.com/cdn/shop/files/Green_Container_with_two_silk_refill_spools.jpg?v=1775140422&width=1500
102,Georganics Natural Floss,Georganics,600,50 meters,"This floss is made from compostable corn PLA and coated with natural candelilla wax, packaged in a reusable glass jar.","PETA Cruelty-Free, Vegan Society Certified",https://cdn11.bigcommerce.com/s-ilgxsy4t82/images/stencil/1280x1280/products/46509/83895/Georganics-Natural-Floss-Refill-Spearmint-unit-31942_063574c4-486a-4bc1-b1ab-52ec2789f241__64708.1659207047.jpg?c=1&imbypass=on
103,EcoRoots Silk Dental Floss,EcoRoots,550,30 meters,"Crafted from natural silk, this floss is biodegradable and comes in a zero-waste glass container with a metal lid.",GOTS (Global Organic Textile Standard) Certified,https://ecoroots.us/cdn/shop/files/floss_1024x1024.png?v=1733154589
111,The Humble Co. Mouthwash Tablets,The Humble Co.,450,60 tablets,"These mouthwash tablets are made from natural ingredients, free from alcohol and preservatives, and come in a recyclable paper packaging.","Vegan Society, Cruelty-Free International",https://www.fiksuruoka.fi/tuotekuvat/7350075691911%20.jpg
112,Georganics Mouthwash Tablets,Georganics,600,180 tablets,"Made with natural ingredients, these tablets are fluoride-free, SLS-free, and come in a reusable glass jar with an aluminum lid.","COSMOS Natural, Vegan Society",http://zerowastestore.com/cdn/shop/files/georganics-mouthwash-tablets-1172652945.webp?v=1762439939
113,Auromere Ayurvedic Mouthwash,Auromere,350,473 ml,"This mouthwash is formulated with Ayurvedic herbs, free from alcohol, and packaged in a recyclable bottle.","Cruelty-Free International, Non-GMO Project Verified",https://www.kroger.com/product/images/xlarge/front/0002727530020
121,Forest Essentials Silkening Shower Wash Iced Pomegranate & Kerala Lime,Forest Essentials,"1,175",200 ml,"This body wash uses natural ingredients like pomegranate and lime, packaged in recyclable materials. It is free from sulfates and parabens.","ISO 14001, Good Manufacturing Practices (GMP)",https://cdn.forestessentialsindia.com/pub/media/catalog/product/8/9/8986_silkening_shower_wash_iced_pomegranate___kerala_lime_200ml_1.png
122,Biotique Bio Apricot Refreshing Body Wash,Biotique,180,190 ml,"Made with apricot kernel oil, turmeric, and soap nut, this body wash is biodegradable and comes in recyclable packaging.",BDIH Certified Natural Cosmetics,https://i.ebayimg.com/images/g/NBcAAOSwdYNjgxWk/s-l1200.jpg
123,Soulflower Lavender Body Wash,Soulflower,400,250 ml,"Crafted with pure essential oils and natural extracts, this body wash is vegan and cruelty-free, with eco-friendly packaging.","PETA Cruelty-Free, Vegan Society Certified",https://m.media-amazon.com/images/I/81VwkNuDRFL.jpg
131,Rustic Art Neem Basil Soap,Rustic Art,155,100 grams,"Made with organic oils and essential oils, this soap is biodegradable and free from synthetic additives. It is suitable for all skin types and comes in recyclable packaging.","USDA Organic, India Organic",https://www.rusticart.in/cdn/shop/files/Neem_Soap_100gm_Rustic_Art_616ebaf018451eb2_300x300.jpg?v=1768722531
132,Forest Essentials Luxury Sugar Soap,Forest Essentials,495,125 grams,"Crafted with natural ingredients like raw cane sugar and cold-pressed oils, this soap is free from harmful chemicals and comes in eco-friendly packaging.","Cruelty-Free, ISO 14001",https://m.media-amazon.com/images/I/611iK01ogjS.jpg
133,Soulflower Pure Tea Tree Soap,Soulflower,250,150 grams,"This soap is made with pure tea tree essential oil and natural ingredients. It is vegan, cruelty-free, and packaged in biodegradable materials.","Vegan Society, Cruelty-Free International",http://www.soulflower.in/cdn/shop/articles/Pure-Tea-Tree-9254950.jpg?v=1780126191
141,Wild Stone Code Titanium Body Perfume,McNROE Consumer Products Pvt. Ltd.,300,120 ml,"This deodorant is free from CFCs and uses a non-aerosol pump, reducing environmental impact. It is packaged in recyclable materials.",ISO 14001 Environmental Management,http://codegrooming.com/cdn/shop/files/Titanium_9db0df60-bdd3-4b4e-bb63-513ff13f4e29.png?v=1719558231
142,Forest Essentials Body Mist - Nargis,Forest Essentials,"1,875",100 ml,"Made with natural ingredients and essential oils, this body mist is packaged in recyclable glass bottles, minimizing plastic waste.","Cruelty-Free International, ISO 14001",https://m.media-amazon.com/images/I/61c6oAFPsiL.jpg
143,Juicy Chemistry Organic Deodorant Stick,Juicy Chemistry,650,50 gm,"Crafted with organic ingredients like shea butter and essential oils, this deodorant is packaged in biodegradable paper tubes.","Ecocert COSMOS Organic, Cruelty-Free International",https://juicychemistry.com/cdn/shop/files/OrganicDeodorant_1500x1500px_40G_1.jpg?v=1783007622&width=1024
151,Forest Essentials Ultra-Rich Body Milk,Forest Essentials,"1,275",200 ml ,"Made with cold-pressed organic oils and natural extracts, this lotion nourishes and hydrates the skin deeply. It is free from synthetic chemicals.","USDA Organic, Cruelty-Free",https://m.media-amazon.com/images/I/61MYf9uJNkL.jpg
152,Biotique Bio Winter Cherry Rejuvenating Body Nourisher,Biotique,180,190 ml,"This lotion is formulated with natural ingredients like winter cherry and sunflower oil, providing deep nourishment and hydration. It is free from parabens and sulfates. ",BDIH Certified Natural Cosmetics,https://global.biotique.com/cdn/shop/files/8904352004353_1.jpg?v=1671102605
153,Kama Ayurveda Himalayan Deodar Body Moisturiser,Kama Ayurveda,"1,195",200 ml,"Enriched with aloe vera, sunflower oil, and coconut oil, this lotion hydrates and softens the skin. It is free from artificial colors and fragrances.","COSMOS Organic, Cruelty-Free",https://m.media-amazon.com/images/I/41D-OuWehfL.jpg
161,Rustic Art Organic Hand Wash Concentrate,Rustic Art,230,500 ml,"Made with organic oils and natural extracts, this hand wash is biodegradable and free from synthetic chemicals. It comes in a reusable and recyclable bottle.","USDA Organic, India Organic",https://m.media-amazon.com/images/I/711WIj1BoUL.jpg
162,Mamaearth Natural Hand Wash,Mamaearth,199,250 ml,"This hand wash is crafted with natural ingredients like tea tree oil and lime, ensuring effective cleaning while being gentle on the skin and environment.","Made Safe, PETA Cruelty-Free",https://theindimums.com/cdn/shop/files/244.webp?v=1759919151&width=1445
163,Biotique Bio Basil and Parsley Revitalizing Hand Wash,Biotique,180,300 ml,"Enriched with basil and parsley extracts, this hand wash is free from harmful chemicals and packaged in recyclable materials, promoting sustainability.","ECOCERT, PETA Cruelty-Free",https://i.ebayimg.com/images/g/dpMAAOSwbnJoEeDA/s-l400.jpg
